───────────────────────────────────────────────────────────────────────────────
Language            Files       Lines    Blanks  Comments       Code Complexity
~ietlibc-xinim/i386/start.S        79        12         4         63          1
~etlibc-xinim/i386/stpcpy.S        22         1         0         21          0
~bc-xinim/i386/strcasecmp.S        34         2         0         32          0
~etlibc-xinim/i386/strcat.S        30         5         0         25          0
~etlibc-xinim/i386/strchr.S        22         2         0         20          0
~etlibc-xinim/i386/strcmp.S        31         3         0         28          1
~etlibc-xinim/i386/strcpy.S        24         4         0         20          0
~etlibc-xinim/i386/strlen.S        18         4         0         14          0
~tlibc-xinim/i386/strncmp.S        33         1         3         29          0
~tlibc-xinim/i386/strncpy.S        49         4        10         35          0
~tlibc-xinim/i386/strrchr.S        19         1         0         18          0
~/dietlibc-xinim/i386/tan.S        33         3         0         30          0
~dietlibc-xinim/i386/tanh.S        43         4         0         39          0
~tlibc-xinim/i386/unified.S        86         5         4         77          0
~etlibc-xinim/i386/usleep.S        31         4         0         27          0
~ietlibc-xinim/i386/vfork.S        10         0         0         10          0
~tlibc-xinim/i386/write12.S        37         4         0         33          0
~ietlibc-xinim/ia64/__CAS.S        14         0         1         13          0
~ibc-xinim/ia64/__longjmp.S       166         7        61         98          1
~-xinim/ia64/__testandset.S        12         0         1         11          0
~ietlibc-xinim/ia64/clone.S        46         3         7         36          0
~dietlibc-xinim/ia64/fork.S        18         1         1         16          0
~bc-xinim/ia64/getsockopt.S         3         1         0          2          0
~etlibc-xinim/ia64/msgctl.S         3         1         0          2          0
~etlibc-xinim/ia64/msgget.S         3         1         0          2          0
~etlibc-xinim/ia64/msgrcv.S         3         1         0          2          0
~etlibc-xinim/ia64/msgsnd.S         3         1         0          2          0
~dietlibc-xinim/ia64/pipe.S        22         3         2         17          0
~etlibc-xinim/ia64/semctl.S         3         1         0          2          0
~etlibc-xinim/ia64/semget.S         3         1         0          2          0
~ietlibc-xinim/ia64/semop.S         3         1         0          2          0
~etlibc-xinim/ia64/setjmp.S       198         7        70        121          0
~bc-xinim/ia64/setsockopt.S         3         1         0          2          0
~ietlibc-xinim/ia64/shmat.S         3         1         0          2          0
~etlibc-xinim/ia64/shmctl.S         3         1         0          2          0
~ietlibc-xinim/ia64/shmdt.S         3         1         0          2          0
~etlibc-xinim/ia64/shmget.S         3         1         0          2          0
~ietlibc-xinim/ia64/start.S        70        10        18         42          0
~tlibc-xinim/ia64/unified.S        63        10        16         37          0
~ietlibc-xinim/ia64/vfork.S         8         1         0          7          0
~-xinim/libcompat/syscall.S       168         8         0        160          3
~ibc-xinim/libdl/_dl_jump.S        55        13         0         42          0
~ietlibc-xinim/mips/__CAS.S        21         1         0         20          0
~ibc-xinim/mips/__longjmp.S        64         0         9         55          1
~tlibc-xinim/mips/__pread.S         3         1         0          2          0
~libc-xinim/mips/__pwrite.S         3         1         0          2          0
~-xinim/mips/__testandset.S        25         1         0         24          2
~ietlibc-xinim/mips/clone.S        67         9         0         58          4
~tlibc-xinim/mips/errlist.S       348         4         3        341          4
~dietlibc-xinim/mips/pipe.S        25         2         0         23          0
~etlibc-xinim/mips/setjmp.S        69         0         8         61          1
~bc-xinim/mips/socketcall.S         5         1         3          1          0
~ietlibc-xinim/mips/start.S        92         9        13         70          2
~tlibc-xinim/mips/unified.S        68        10         1         57          1
~ibc-xinim/mips64/__pread.S         2         0         1          1          0
~bc-xinim/mips64/__pwrite.S         2         0         1          1          0
~c-xinim/parisc/__longjmp.S        62         8        14         40          0
~inim/parisc/__testandset.S         8         0         0          8          0
~ibc-xinim/parisc/_llseek.S         3         1         0          2          0
~tlibc-xinim/parisc/clone.S        40        10         5         25          0
~xinim/parisc/ftruncate64.S        12         1         0         11          0
~-xinim/parisc/getsockopt.S         3         1         0          2          0
~etlibc-xinim/parisc/mmap.S         3         1         0          2          0
~tlibc-xinim/parisc/mmap2.S         6         2         0          4          0
~tlibc-xinim/parisc/mount.S         3         1         0          2          0
~im/parisc/parisc_fadvise.S         5         1         0          4          0
~bc-xinim/parisc/recvfrom.S         3         1         0          2          0
~libc-xinim/parisc/select.S         3         1         0          2          0
~libc-xinim/parisc/semctl.S         3         1         0          2          0
~libc-xinim/parisc/semget.S         3         1         0          2          0
~tlibc-xinim/parisc/semop.S         3         1         0          2          0
~libc-xinim/parisc/sendto.S         3         1         0          2          0
~libc-xinim/parisc/setjmp.S        67         4        15         48          0
~-xinim/parisc/setsockopt.S         3         1         0          2          0
~tlibc-xinim/parisc/start.S        69        12        13         44          0
~-xinim/parisc/strcasecmp.S        39         2        10         27          0
~libc-xinim/parisc/strcmp.S        20         1         0         19          0
~libc-xinim/parisc/strlen.S        50         4        11         35          0
~xinim/parisc/strncasecmp.S        39         2        10         27          0
~ibc-xinim/parisc/strncmp.S        21         2         0         19          0
~ibc-xinim/parisc/strncpy.S        17         2         0         15          0
~ibc-xinim/parisc/strpbrk.S        26         2         0         24          0
~ibc-xinim/parisc/strrchr.S        30         1        10         19          0
~libc-xinim/parisc/strstr.S        34         1         0         33          0
~-xinim/parisc/truncate64.S        12         1         0         11          0
~libc-xinim/parisc/umount.S        10         1         0          9          0
~ibc-xinim/parisc/unified.S        73        11        13         49          0
~dietlibc-xinim/ppc/__CAS.S        15         0         0         15          0
~libc-xinim/ppc/__longjmp.S        65         4         0         61          0
~c-xinim/ppc/__testandset.S        12         1         0         11          0
~dietlibc-xinim/ppc/clone.S        48         9         2         37          0
~c-xinim/ppc/fadvise64_64.S         5         1         0          4          0
~ietlibc-xinim/ppc/select.S         3         1         0          2          0
~ietlibc-xinim/ppc/setjmp.S        62         2         0         60          0
~dietlibc-xinim/ppc/start.S        70        14         8         48          0
~etlibc-xinim/ppc/unified.S        43         5         1         37          0
~etlibc-xinim/ppc64/__CAS.S        15         0         0         15          0
~bc-xinim/ppc64/__longjmp.S        68         1         0         67          2
~xinim/ppc64/__testandset.S        12         1         0         11          0
~etlibc-xinim/ppc64/clone.S        57         9         2         46          2
~tlibc-xinim/ppc64/select.S         3         1         0          2          0
~tlibc-xinim/ppc64/setjmp.S        74         3         0         71          2
~etlibc-xinim/ppc64/start.S       125        15        29         81          2
~tlibc-xinim/ppc64/umount.S        14         1         0         13          2
~libc-xinim/ppc64/unified.S        85         7         7         71          2
~ibc-xinim/s390/__longjmp.S        15         1         0         14          0
~-xinim/s390/__testandset.S        11         1         0         10          0
~ietlibc-xinim/s390/clone.S        37         4         0         33          0
~-xinim/s390/fadvise64_64.S         5         1         0          4          0
~dietlibc-xinim/s390/mmap.S        47         9         6         32          0
~etlibc-xinim/s390/mmap64.S        52        10         6         36          0
~etlibc-xinim/s390/setjmp.S        44         5         1         38          0
~ietlibc-xinim/s390/start.S        74        17         7         50          1
~tlibc-xinim/s390/unified.S        57         8         1         48          0
~bc-xinim/s390x/__longjmp.S        21         1         0         20          0
~xinim/s390x/__testandset.S        11         1         0         10          0
~etlibc-xinim/s390x/clone.S        37         4         0         33          0
~ietlibc-xinim/s390x/mmap.S        36         5         4         27          0
~tlibc-xinim/s390x/setjmp.S        50         5         1         44          0
~etlibc-xinim/s390x/start.S        62        14         7         41          1
~libc-xinim/s390x/unified.S        49         8         1         40          0
~bc-xinim/sparc/__longjmp.S        68        11        13         44          0
~xinim/sparc/__testandset.S         6         0         0          6          0
~ietlibc-xinim/sparc/atol.S        48         1        10         37          0
~etlibc-xinim/sparc/clone.S        44         8         0         36          0
~libc-xinim/sparc/errlist.S       290         6         0        284          2
~ietlibc-xinim/sparc/fork.S        15         2         0         13          0
~libc-xinim/sparc/memccpy.S        27         1        10         16          0
~tlibc-xinim/sparc/memchr.S        25         1        10         14          0
~tlibc-xinim/sparc/memcmp.S        27         1        10         16          0
~tlibc-xinim/sparc/memcpy.S        25         1        10         14          0
~libc-xinim/sparc/memmove.S        34         1        10         23          0
~tlibc-xinim/sparc/memset.S        19         1        10          8          0
~ietlibc-xinim/sparc/pipe.S        16         2         0         14          0
~dietlibc-xinim/sparc/rem.S       366        47        37        282          7
~ietlibc-xinim/sparc/sdiv.S       366        47        37        282          7
~tlibc-xinim/sparc/setjmp.S        39         8         2         29          0
~etlibc-xinim/sparc/start.S        67        14        10         43          0
~tlibc-xinim/sparc/strcat.S        29         1        10         18          0
~tlibc-xinim/sparc/strchr.S        26         1        10         15          0
~tlibc-xinim/sparc/strcmp.S        28         1        10         17          0
~tlibc-xinim/sparc/strcpy.S        23         1        10         12          0
~tlibc-xinim/sparc/strlen.S        11         0         0         11          0
~libc-xinim/sparc/strncmp.S        29         1        10         18          0
~libc-xinim/sparc/strncpy.S        27         1        10         16          0
~tlibc-xinim/sparc/strstr.S        38         1        10         27          0
~ietlibc-xinim/sparc/udiv.S       361        53        37        271          5
~ietlibc-xinim/sparc/umul.S       168        11        72         85          3
~libc-xinim/sparc/unified.S        39         4         1         34          0
~ietlibc-xinim/sparc/urem.S       360        52        37        271          5
~libc-xinim/sparc64/__CAS.S         8         0         0          8          0
~-xinim/sparc64/__longjmp.S         1         0         1          0          0
~nim/sparc64/__testandset.S         6         0         0          6          0
~libc-xinim/sparc64/clone.S        44         5         0         39          0
~bc-xinim/sparc64/errlist.S       280         6         0        274          2
~tlibc-xinim/sparc64/fork.S        18         2         0         16          0
~bc-xinim/sparc64/longjmp.S        17         1         0         16          0
~tlibc-xinim/sparc64/pipe.S        18         2         0         16          0
~ibc-xinim/sparc64/setjmp.S        27         4         0         23          0
~ibc-xinim/sparc64/sigjmp.S         1         0         1          0          0
~libc-xinim/sparc64/start.S        67        15        10         42          0
~bc-xinim/sparc64/unified.S        40         5         1         34          0
~inim/syscalls.s/__accept.S        10         3         0          7          1
~nim/syscalls.s/__accept4.S        10         3         0          7          1
~-xinim/syscalls.s/__bind.S         8         1         0          7          1
~nim/syscalls.s/__connect.S        10         3         0          7          1
~nim/syscalls.s/__eventfd.S         3         1         0          2          0
~im/syscalls.s/__eventfd2.S         3         1         0          2          0
~syscalls.s/__getpagesize.S         5         1         0          4          0
~syscalls.s/__getpeername.S        10         3         0          7          1
~syscalls.s/__getsockname.S        10         3         0          7          1
~/syscalls.s/__getsockopt.S        10         3         0          7          1
~xinim/syscalls.s/__guard.S        34         5         0         29          2
~inim/syscalls.s/__listen.S        10         3         0          7          1
~xinim/syscalls.s/__ppoll.S         5         1         0          4          0
~xinim/syscalls.s/__pread.S         7         1         0          6          0
~inim/syscalls.s/__pwrite.S         7         1         0          6          0
~inim/syscalls.s/__reboot.S         3         1         0          2          0
~-xinim/syscalls.s/__recv.S        10         3         0          7          1
~im/syscalls.s/__recvfrom.S        10         3         0          7          1
~im/syscalls.s/__recvmmsg.S        10         3         0          7          1
~nim/syscalls.s/__recvmsg.S        10         3         0          7          1
~-xinim/syscalls.s/__send.S        10         3         0          7          1
~im/syscalls.s/__sendmmsg.S        10         3         0          7          1
~nim/syscalls.s/__sendmsg.S        10         3         0          7          1
~inim/syscalls.s/__sendto.S        10         3         0          7          1
~/syscalls.s/__setsockopt.S        10         3         0          7          1
~im/syscalls.s/__shutdown.S        10         3         0          7          1
~im/syscalls.s/__signalfd.S         5         1         0          4          0
~m/syscalls.s/__signalfd4.S         5         1         0          4          0
~inim/syscalls.s/__socket.S         8         1         0          7          1
~/syscalls.s/__socketpair.S        10         3         0          7          1
~xinim/syscalls.s/_llseek.S         8         1         0          7          0
~-xinim/syscalls.s/access.S         3         1         0          2          0
~xinim/syscalls.s/add_key.S         3         1         0          2          0
~inim/syscalls.s/adjtimex.S         3         1         0          2          0
~c-xinim/syscalls.s/alarm.S         6         0         0          6          0
~xinim/syscalls.s/bdflush.S         5         1         0          4          0
~ibc-xinim/syscalls.s/brk.S         3         1         0          2          0
~-xinim/syscalls.s/capget.S         3         1         0          2          0
~-xinim/syscalls.s/capset.S         3         1         0          2          0
~c-xinim/syscalls.s/chdir.S         3         1         0          2          0
~c-xinim/syscalls.s/chmod.S         3         1         0          2          0
~c-xinim/syscalls.s/chown.S         3         1         0          2          0
~xinim/syscalls.s/chown32.S         5         1         0          4          0
~-xinim/syscalls.s/chroot.S         3         1         0          2          0
~/syscalls.s/clock_getres.S         3         1         0          2          0
~syscalls.s/clock_gettime.S         3         1         0          2          0
~scalls.s/clock_nanosleep.S         3         1         0          2          0
~syscalls.s/clock_settime.S         3         1         0          2          0
~c-xinim/syscalls.s/close.S         3         1         0          2          0
~syscalls.s/create_module.S         5         1         0          4          0
~syscalls.s/delete_module.S         5         1         0          4          0
~ibc-xinim/syscalls.s/dup.S         3         1         0          2          0
~bc-xinim/syscalls.s/dup2.S         3         1         0          2          0
~bc-xinim/syscalls.s/dup3.S         3         1         0          2          0
~xinim/syscalls.s/environ.S        33         3         2         28          2
